Questions,Answer
What is Fabry disease?,"""Fabry disease is a rare genetic disease a deficiency of the enzyme alpha-galactosidase A (a-Gal A) that causes a buildup of a type of fat called globotriaosylceramide (Gb3, or GL-3) in the body. Fabry disease is classified as a type of lysosomal storage disorder. Lysosomes are isolated areas of cells that contain enzymes. In a lysosomal storage disorder these enzymes do not properly metabolize certain fatty molecules. As a result, the undigested fat molecules accumulate and impair a cell's ability to function. In Fabry disease, the alpha-galactosidase A enzymes are deficient and globotriaosylceramide accumulates, which can affect the function of the skin, eyes, gastrointestinal system, kidney, heart, brain, and nervous system.""'Fabry disease is the result of a mutation of the gene responsible for making alpha-galactosidase enzyme, which is located on the X chromosome. Fabry affects mostly males though rarely females may inherit the disease.''Fabry disease is a progressive disorder and symptoms that affect the kidneys, heart, or brain most often occur when patients are age 30 to 45 years.' "
What causes Fabry disease; is it genetic?,"  Fabry disease is a genetic disorder. A genetic disorder is caused by a mutation, or change, in a part of a person's DNA. In Fabry disease, the defective gene is on the X-chromosome, which is one of two sex chromosomes. Sex chromosomes determine a person's gender at birth. Everyone inherits one sex chromosome from each parent. Mothers pass on only X chromosomes while fathers can pass on either an X or a Y chromosome. The chromosome passed on by the father then determines the sex of the offspring: females have two X chromosomes (XX), and males have one X chromosome and one Y chromosome (XY). Fabry disease affects mostly males, who receive one X chromosome with the abnormal gene. Females with Fabry disease also receive one X chromosome with the defective gene, however; since females have two X chromosomes, the normal X chromosome can offer some protection against developing the disorder. Fabry disease is caused by a genetic mutation resulting in a deficiency of an enzyme called alpha-galactosidase A (a-Gal A). The genetic defect causes the body to not make enough of this enzyme leading to a buildup of a type of fat called globotriaosylceramide (Gb3, or GL-3) in the body cause the symptoms of Fabry disease. Fabry disease is the result of what is called an X-linked inheritance, that is, the disease is caused by a defect on the X chromosome. X-linked genetic mutations tend to occur mostly in males and rarely in females. If a mother is carrying the defective gene for Fabry disease, both male and female children have a 50% chance of inheriting it from their mother. If the father is carrying the Fabry gene, the female children will inherit the defective gene because the father passes along an X chromosome to them, but the male children, who get a Y chromosome, will not. Females who inherit a defective X chromosome are called carriers and they may pass the genetic mutation on to their male children."
What are the signs and symptoms of Fabry disease?,"'Signs and symptoms include:''Complications of Fabry disease include kidney damage, ''heart disease'' and ''heart attack'', and ''strokes''.'   Episodes of pain and burning sensations in the hands and feet (acroparesthesias) that can be triggered by exercise, stress, fatigue, fever, or changes in weather Small, dark red spots on the skin (angiokeratomas), mostly in clusters from the belly button to the knees Decreased ability to sweat Cloudiness of the front part of the eye Problems with the gastrointestinal system Ringing in the ears (tinnitus) Hearing loss Mitral valve prolapse Abdominal discomfort Frequent bowel movements after eating Joint pain Back pain in the kidney area"
What is the prevalence of Fabry disease?,"'It is estimated that Fabry disease affects 1 in 40,000 males. The prevalence of Fabry disease in females is unknown. It can affect all ethnicities, but it predominantly affects Caucasians. Late-onset forms of Fabry disease, which tend to be milder, are more common than the classic severe form diagnosed earlier in life.' "
Which procedures and tests diagnose Fabry disease?,"'Fabry disease can be difficult to diagnose because it is so rare. The standard test to diagnose Fabry disease is a measurement of leukocyte alpha-Gal A enzyme activity. This test can detect the presence of the mutation for Fabry disease in males, however, it will only identify about 50% of the female carriers.' "
What is the treatment for Fabry disease; is there a cure?,"'Fabry disease may be treated using enzyme replacement therapy with agalsidase-alpha (Replagal) or agalsidase beta (Fabrazyme) to help normalize kidney function, ''heart function'', and blood supply to the brain.''Other treatments for Fabry disease are aimed at relieving individual symptoms.''Because Fabry disease can affect many different organs many specialists may be consulted:''Patients may also wish to consult with genetic counselors.'   phenytoin (Dilantin), carbamazepine (Tegretol), or gabapentin (Neurontin) may help prevent episodes of pain and burning sensations (acroparesthesias). Opioids may be prescribed for severe pain. Antiplatelet drugs such as aspirin, ticlopidine, clopidogrel (Plavix), and aspirin-dipyridamole (Aggrenox) are prescribed to prevent recurrent ischemic strokes. Warfarin (Coumadin) may be prescribed to prevent cardioembolic strokes. In severe Fabry disease that has progressed to kidney failure, hemodialysis and kidney transplantation may be necessary. Pancrelipase (Ultrase), metoclopramide (Reglan), H2 blockers, such as ranitidine (Zantac), cimetidine (Tagamet), famotidine (Pepcid), and others, and loperamide (Immodium) can help and soothe relieve gastrointestinal symptoms. ACE inhibitors and/or blockers are prescribed for high levels of protein in the urine (proteinuria) due to kidney damage. Hearing loss may be treated with hearing aids. Patients with high blood pressure (hypertension) may be prescribed antihypertensive medications and they should keep blood pressure under control. High cholesterol should also be treated. In addition to medications, patients should eat a balanced diet, exercise, and avoid smoking. Nephrologist for kidney problems Cardiologist for heart problems Neurologist or neurosurgeon for brain and nervous system symptoms Ophthalmologist for eye problems Gastroenterologist for digestive problems Otolaryngologist (ear, nose, and throat specialist, or ENT) for hearing problems Additionally, patients may benefit from working with physical therapists, nutritionists, and psychologists to help manage symptoms."
What is the life expectancy for a person with Fabry disease?,"'The life expectancy of males with Fabry disease is about 58 years, and the life expectancy of females with Fabry disease is just over 75 years. The most common cause of death in both genders is ''cardiovascular disease''.' "
What is prosopagnosia?,"'Prosopagnosia is a neurological disorder characterized by the inability to recognize faces. Prosopagnosia is also known as face blindness or facial agnosia. The term prosopagnosia comes from the Greek words for “face” and “lack of knowledge.” Depending upon the degree of impairment, some people with prosopagnosia may only have difficulty recognizing a familiar face; others will be unable to discriminate between unknown faces, while still others may not even be able to distinguish a face as being different from an object. Some people with the disorder are unable to recognize their own face. Prosopagnosia is not related to memory dysfunction, ''memory loss'', impaired vision, or ''learning disabilities''. Prosopagnosia is thought to be the result of abnormalities, damage, or impairment in the right fusiform gyrus, a fold in the brain that appears to coordinate the neural systems that control facial perception and memory. Prosopagnosia can result from ''stroke'', traumatic ''brain injury'', or certain neurodegenerative diseases. In some cases it is a congenital disorder, present at birth in the absence of any ''brain damage''. Congenital prosopagnosia appears to run in families, which makes it likely to be the result of a genetic mutation or deletion. Some degree of prosopagnosia is often present in children with ''autism'' and ''Asperger’s syndrome'', and may be the cause of their impaired social development.\xa0'  "
Is there any treatment?,'The focus of any treatment should be to help the individual with prosopagnosia develop compensatory strategies. Adults who have the condition as a result of ''stroke'' or brain trauma can be retrained to use other clues to identify individuals.'  
What is the prognosis?,"'Prosopagnosia can be socially crippling. Individuals with the disorder often have difficulty recognizing family members and close friends. They often use other ways to identify people, such as relying on voice, clothing, or unique physical attributes, but these are not as effective as recognizing a face. Children with congenital prosopagnosia are born with the disability and have never had a time when they could recognize faces. Greater awareness of ''autism'', and the ''autism'' spectrum disorders, which involve communication impairments such as prosopagnosia, is likely to make the disorder less overlooked in the future.' "
What research is being done?,"'The National Institute of Neurological Disorders and Stroke (NINDS) conducts research related to prosopagnosia in its laboratories at the National Institutes of Health (NIH), and also supports additional research through grants to major medical institutions across the country. Much of this research focuses on finding better ways to prevent, treat, and ultimately cure disorders, such as prosopagnosia.' "
What is facelift surgery,"'A facelift is a surgical method that removes excess facial skin to make the face appear younger.  However, the ''aging'' face not only loses skin elasticity and develops looser skin, but also loses fat and muscle tone.  Additional procedures that may be necessary to achieve the best results include: necklift, ''blepharoplasty'' (''eyelid surgery''), ''liposuction'', autologous fat injection, removal of buccal (cheek) fat pad, forehead lift, browlift, chemical or laser peel, and malar (cheek), submalar or ''chin implants''.'  "
How is facelift surgery performed?,"'A traditional facelift procedure is performed through an incision starting in the hair or hairline above and in front of the ear (the temporal region).  The incision is extended downward in front of the ear, comes under the ear and then upward behind the ear ending in the hair or hairline behind the ear. The skin and fatty tissues are then lifted off the underlying muscle and fascia (connective tissue) as far forward as is necessary to correct the loose skin problem.  The underlying muscle and fascia can be tightened with ''sutures'' if the surgeon feels it is necessary. The skin is pulled back and upward and the excess skin removed. The ''wound'' is then closed with sutures and skin staples. Some surgeons leave a drain in the wounds to remove excess blood. Bandages are then applied.  There are surgical techniques which go into deeper tissues rather than under the skin and fat. The results are similar.' "
What are complications of facelift surgery?,"'Although infrequent, the risks and complications of facelift surgery include:'   Bleeding, hematoma, bruising Infection Neurological dysfunction (loss of muscle function or sensation), which is usually temporary Widened or thickened scar Loss of hair (around the incision site) Asymmetry (unevenness between two sides) Skin necrosis (loss of skin from tissue death)"
Summary,"""Facelift is very satisfying to most patients. It achieves a youthful appearance which lasts approximately 10 years. The surgery is performed in an outpatient setting.  This can be done in the outpatient surgi-center or even in a well-equipped physician's office.  ""'Pain'' and discomfort after surgery are minimal. Once the dressings are removed after approximately 3-5 days, the patient can resume social activities using ''makeup'' to cover ''bruising'' and hair over the ears to hide the sutures.' "
What is the facial nerve?,"'The facial nerve is a nerve that controls the muscles on the side of the face. It allows us to show expression, smile, cry, and wink. Injury to the facial nerve can cause a socially and psychologically devastating physical defect; although most cases resolve spontaneously, treatment may ultimately require extensive rehabilitation or multiple procedures.''The facial nerve is the seventh of the twelve cranial nerves. Everyone has two facial nerves, one for each side of the face. The facial nerve travels with the ''hearing'' nerve (the eighth cranial nerve) as it travels in and around the structures of the middle ear. It exits the front of the ear at the stylomastoid foramen (a hole in the skull base), where it then travels through the parotid gland. In the parotid gland it divides into many branches that provide motor function for the various muscles and glands of the head and neck.'  "
