Questions,Answer
What is the hematocrit?,"'The hematocrit is the proportion, by volume, of the blood that consists of ''red blood cells''. The hematocrit (hct) is expressed as a percentage. For example, a hematocrit of 25% means that there are 25 milliliters of red blood cells in 100 milliliters of blood.' "
How is the hematocrit measured?,"'The hematocrit is typically measured from a blood sample by an automated machine that makes several other measurements of the blood at the same time. Most of these machines in fact do not directly measure the hematocrit, but instead calculate it based on the determination of the amount of ''hemoglobin'' and the average volume of the red blood cells. The hematocrit can also be determined by a manual method using a centrifuge. When a tube of blood is centrifuged, the ''red cells'' will be packed into the bottom of the tube. The proportion of red cells to the total blood volume can then be visually measured.' "
What is a normal hematocrit ranges by ages?,"'The normal ranges for hematocrit are depended on the age and, after adolescence, the sex of the individual. The normal ranges are:''These values may vary slightly among different laboratories.' "
What does a low hematocrit mean?,"'A person who has a low hematocrit is referred to as being ''anemic''. There are many reasons for ''anemia''. Some of the more common reasons are' loss of blood (traumatic injury, surgery, bleeding, and colon cancer), nutritional deficiency (iron, vitamin B12, folate), bone marrow problems (replacement of bone marrow by cancer, suppression by chemotherapy drugs, kidney failure), and abnormal hemoglobin (sickle cell anemia)."
What does a high hematocrit mean?,"'Higher than normal hematocrit levels represent abnormally elevated red blood cell counts.''Some other infrequent causes of an elevated hematocrit are' High hematocrits can be seen in people living at high altitudes and in chronic smokers. Dehydration produces a falsely high hematocrit that disappears when the proper fluid balance is restored. lung disease, certain tumors, a disorder of the bone marrow known as polycythemia rubra vera, and abuse of the drug erythropoietin (Epogen) by athletes for ""blood doping"" purposes."
What is Helicobacter pylori (stomach bacteria)?,"'Helicobacter'' pylori'' (''H. pylori'' or, as it is sometimes termed, stomach bacteria) is a spiral-shaped gram-negative bacterium that can cause chronic inflammation of the inner lining of the stomach (gastritis) and in the duodenum (first part of the small bowel) in humans. This bacterium also is considered a common cause of ulcers worldwide; as many as 90% of people with ulcers are infected with ''H. pylori''. However, many people have these organisms residing in (colonising or mucosa-associated) their stomach and upper digestive tract and have few or no symptoms. LPS (lipopolysaccharide) is part of the ''H. pylori ''outer membrane and can be toxic when the bacteria die and lyse.'  "
How do you get H. pylori?,"'H. pylori'' bacteria may cause a stomach infection in some individuals. ''H. pylori'"" infections start with a person acquiring the bacterium from another person (via either the fecal-oral or oral-oral route). Although the majority of individuals who have these bacteria in their gastrointestinal (GI) tracts have few if any symptoms (see symptoms), most people develop stomach inflammation (gastritis) from the body's response to the bacterium itself and to a cytotoxin-associated substance termed Vac-A, a chemical that the bacterium produces.""'Researchers also suggest that stomach acid stimulates the bacterium to grow and produce the cytotoxin, and increases invasion of the lining of the stomach by the bacteria, with resulting inflammation, and ''peptic ulcer'' formation (''peptic ulcer'' disease). Other investigators have shown that these bacteria and their products cause alterations in the cells of the stomach lining that when altered are associated with stomach and other ''cancers'', although these are infrequently seen diseases.''The frequency of people infected may somehow be related to race. About 60% of Hispanics and about 54% of African Americans have detectable organisms as compared to about 20% to 29% of White Americans. In developing countries, children are very commonly infected.' "
What are the early and serious symptoms and signs of Helicobacter pylori infections?,"'Most individuals with ''Helicobacter pylori'' infections have few or no symptoms. Some may experience a few symptoms from mild gastritis episodes, for example,''Often, these symptoms simply go away. However, those individuals who have more serious infection experience signs and symptoms of stomach and duodenal ulcers or severe gastritis which include:''Other symptoms may include:''Persons with symptoms of black, ''tarry stools'' and ''fatigue'' should seek immediate medical help or go to an emergency department to be evaluated for intestinal bleeding.'   minor belching, bloating, nausea, vomiting, and abdominal discomfort. Abdominal pain and/or discomfort that usually does not wax and wane Nausea and vomiting sometimes with blood that is red, or the color is like coffee grounds or like vomitus Dark or tar-like stools (black color of feces due to bleeding ulcers) Fatigue Low red blood cell counts due to bleeding Full feeling after consuming a small amount of food Decreased appetite that is more constant Diarrhea Heartburn Bad breath (halitosis)"
Is H. pylori contagious?,"'Yes, ''H. pylori'' is ''contagious''. However, sometimes there is a gray area between the terms contagious and colonized. Contagious usually implies that a disease-causing agent is transferred from person to person, while colonization usually implies an agent that simply populates an organ but does not cause disease, even when transferred from person to person. The gray area occurs when many people have the agent that causes disease in some of them, but not in many others. Some microbiologists consider such organisms as adapting to their human hosts by slowly changing from infecting humans to colonizing them. Although this is a speculation, it seems to fit the ongoing situation with ''H. pylori''. However, others think the bacteria become infecting agents when ''H. pylori''’s genetic ''makeup'' is triggered by the surrounding GI environment to produce and release enough toxic chemicals to cause the GI tract to become inflamed.' "
Which specialties of doctors treat H. pylori infection?,"'Many individuals can be treated by their primary care doctors; however, some people may need specialists like infectious disease specialists, gastroenterologists, and possibly a surgeon to help manage and/or treat the person with ''H. pylori'' infection.' "
