Questions,Answer
What is inflammatory bowel disease (IBD)?,"""Ulcerative colitis (UC) and Crohn's disease (CD) are known as the ""'inflammatory bowel'"" diseases (IBD). The precise cause of IBD remains unknown. These diseases are believed to be caused by a combination of genetic and non-genetic, or environmental factors (for example, infections) that interact with the body's immune (defense) system. When the intestinal immune system does not function properly, many white blood cells accumulate in the inner lining (mucosa) of the gut. The white cells then release chemicals that lead to tissue injury (inflammation). This inflammation of the mucosa can cause ""'diarrhea'"", which is the most common symptom of  ulcerative colitis and Crohn's disease, with or without the intestinal complications.""  "
What are the intestinal complications of IBD?,"'''The intestinal complications of IBD occur when the intestinal inflammation is severe, extends beyond the inner lining (mucosa) of the intestines, is widespread, and/or is of long duration (chronic). For example, severe mucosal inflammation can cause ulcers, bleeding, and toxic megacolon (a condition in which the colon widens, or dilates, and loses its ability to properly contract). Inflammation that extends beyond the inner lining and through the intestinal wall is responsible for strictures (scarring that causes narrowing of the intestinal wall) and fistulas (tubular passageways originating from the bowel wall and connecting to other organs or the skin). Strictures, in turn, can lead to bacterial overgrowth of the small intestine (SIBO). If the inflammation of the small bowel is widespread, malabsorption of nutrients can be a complication. Chronic inflammation can also be associated with colon ''cancer''.'' The majority of IBD patients experience periods during which their disease intensifies (flares) or subsides (remissions). Although most patients require medication for IBD, they are able to live normal, productive lives. Some patients, but certainly not all, will develop intestinal complications of IBD. When these complications occur, they should be recognized and usually treated. Some patients with IBD develop complications outside of the intestine (extraintestinal), such as certain kinds of ''arthritis'', skin ''rashes'', ''eye problems'', and ''liver disease''. These extraintestinal complications are discussed in other articles on IBD.'' This review will describe the various types of intestinal complications that are associated with IBD, and will also summarize methods for their diagnosis and treatment. Please note that the terms bowel, intestine, and gut are used synonymously. The small bowel, or intestines, includes from top to bottom, the duodenum, jejunum, and ileum. The large bowel is also called the colon.' "
Are the intestinal complications of ulcerative colitis and Crohn's disease different?,"""Some intestinal complications of IBD occur in both ulcerative colitis and Crohn's disease. For example, ulceration of the inflamed inner intestinal lining (mucosa), which causes ""'abdominal pain'"" and intestinal bleeding, may complicate both diseases. Since both ulcerative colitis and Crohn's disease involve the colon,  complications that are associated with the colon, such as toxic megacolon and  colon ""'cancer'"", occur in both diseases. Additionally, there are no intestinal complications that occur only in ulcerative colitis and not in  Crohn's disease. On the other hand, certain intestinal complications of IBD occur predominantly in Crohn's disease (for example, fistulas) or exclusively in Crohn's disease and not in  ulcerative colitis (for example, malabsorption and SIBO)."""" The differences in intestinal complications between ulcerative colitis and Crohn's disease depend on the characteristically dissimilar behaviors of the inflammation associated with these diseases. In Crohn's disease, the inflammation usually extends from the inner lining (mucosa) through the entire thickness of the bowel wall. This spreading inflammatory process may thereby lead to fistulas, abscesses, or strictures of the bowel. By contrast, the inflammation in ulcerative colitis is limited to the inner lining of the colon. The development of these particular complications is, therefore, much less common in ulcerative colitis. Also, Crohn's disease can affect any area of the GI tract from the mouth to the anus, whereas ulcerative colitis is limited to the colon. Therefore, complications involving the small intestine, such as malabsorption and SIBO, as previously noted, occur only in Crohn's disease and not in ulcerative colitis."" "
Do intestinal ulcers occur in IBD?,"""When the inflammation in the inner lining of the intestine becomes severe, it can break through the inner lining to form ulcers. The ulcers associated with ulcerative colitis are located in the colon, whereas ulcers in Crohn's disease may be found anywhere in the gut from the mouth (aphthous ulcers) to the anus. When examined, ulcerative colitis ulcers are typically shallow and more numerous, while Crohn's disease ulcers are usually deeper and with more distinct borders.""'The symptoms caused by intestinal ulcers are predominantly ''abdominal pain'', ''cramps'', and bleeding. Sometimes, however, ulcers may be present in IBD but are not associated with any symptoms (asymptomatic).'""In Crohn's disease, the inflammation and accompanying ulcers occur most commonly in the ileum, jejunum, and colon, but can occasionally occur in the duodenum. Note, however, that these ulcers are entirely different from the far more common acid-related peptic ulcers in the duodenum."" "
How are ulcers in IBD diagnosed and treated?,"'Intestinal ulcers can be diagnosed by directly viewing the lining of the intestines. Various procedures, utilizing viewing instruments called endoscopes, are available. Endoscopes are flexible, thin, tubular instruments that are inserted into the gastrointestinal (GI) tract through either the mouth or rectum, depending on the procedure. Which procedure is done depends on the part of the GI tract that is being examined. ''Endoscopy'' can be done for either the upper or ''lower GI'' tracts. The endoscope is inserted through the mouth for ''upper endoscopy'' or through the rectum for lower endoscopy. The colon is examinedeither by ''sigmoidoscopy'' (using sigmoidoscopes) for the lower (sigmoid) part ofthe colon or by ''colonoscopy'' (using a ''colonoscope'') for the entire colon.''The upper GI tract is examined by a procedure called esophago-gastro-duodenoscopy (''EGD'""). An upper GI endoscope is used for this procedure. EGD is useful in detecting Crohn's disease ulcers in the ""'esophagus'', stomach, and the duodenum.''Crohn\'s disease ulcers in the small intestine may be seen by a procedure called enteroscopy, in which a special endoscope (called an enteroscope) is used. But enteroscopies need special equipments and are not widely available. Ulcers in the small intestine, however, are more often diagnosed with an X-ray study called a ""small bowel follow-through"" (SBFT). In this test, the patient swallows a few cups of barium, which coats the lining of the small intestine. On the X-ray, the barium may show the presence of ulcers. However, SBFT may not be accurate, and may not detect small ulcers in the small bowel. In patients suspected of having small bowel Crohn\'s disease ulcers and yet have normal SBFT studies, CT (''computerized tomography'') of the small bowel and capsule enteroscopy may be helpful in diagnosis.''Capsule enteroscopy is a procedure where a patient swallows a small camera the size of a pill. The camera located inside ''the pill'"" takes multiple images of the inside of the small bowel and transmits these images wirelessly onto a recorder worn around the patient's waist. The recorded images are later reviewed by a doctor. Both CT of the small bowel and capsule enteroscopy in some studies have been found to be more accurate than the traditional SBFT in diagnosing Crohn's disease of the small bowel.""'The treatment of ulcers in IBD is aimed at decreasing the underlying inflammation with various medications. These medications include ''mesalamine'' (''Asacol'', ''Pentasa'', or ''Rowasa''), ''corticosteroids'', antibiotics, or immunosuppressive\xa0medications such as 6-MP (6-''mercaptopurine'', ''Purinethol'') or ''azathioprine'' (Imuran). In some cases, ulcers can be very resistant to these treatments and the use of stronger ''drugs'' may be required. These drugs include an immunosuppressive medication, ''cyclosporine'' (''Neoral'' or ''Sandimmune''), or the newer ''infliximab'' (''Remicade'""), which is an antibody to one of the body's inflammation-inducing chemicals called ""'tumor'' necrosis factor (TNFa). ''Adalimumab'' (''Humira'') and ''certolizumab'' (''Cimzia'') are also in the same class of drugs as infliximab. Occasionally, therapy with medications fails to heal IBD ulcers and surgical treatment is needed.' "
Does gastrointestinal bleeding occur in IBD?,"""Bleeding from the intestinal tract, or gastrointestinal (GI) bleeding, may complicate the course of both ulcerative colitis and Crohn's disease. ""'GI bleeding'' is often referred to as ''rectal bleeding'' when the blood comes out of the rectum, usually with the stools. If the source of bleeding is in the colon, the blood is usually a red color. The longer the blood the remains in the intestine, however, the darker it becomes. Thus, ''rectal bleeding'' originating from higher up in the intestinal tract is usually black, except for very rapid bleeding, which can still be red.'' Patients with ulcerative colitis usually experience some degree of chronic (long duration) rectal bleeding, which can be continuous or intermittent. The bleeding may be mild, as when it is limited to occasional drops on the toilet paper or streaks of blood around the stools. At times, however, the bleeding may be more severe or acute, with the passage of greater amounts of blood or large ''blood clots'"". The more severe rectal bleeding is most likely due to more severe inflammation and extensive ulceration of the colon. In Crohn's disease, mild or severe intestinal inflammation also may occur, but the ulcers and bleeding are less frequent than in ulcerative  colitis. Because of the deep nature of ulcers in Crohn's disease, however, the GI bleeding tends to be acute (sudden and brief) and sporadic. Furthermore, in Crohn's disease, the site of bleeding can be anywhere in the GI tract, including the colon."" "
How is gastrointestinal bleeding in IBD diagnosed and treated?,"'''Intestinal bleeding in IBD is usually diagnosed by EGD for the upper GI tract or colonoscopy for the lower GI tract. These methods allow for direct visualization of the bleeding site, which can be particularly helpful. Additionally, special instruments can be used through the upper GI endoscopes or colonoscopes, which may effectively treat the bleeding lesions and stop ongoing blood loss. Sometimes, if the bleeding is severe and the bleeding site is suspected to be in the small intestine, other tests may be needed. One of these tests is a special X-ray study called an ''angiogram'', which uses a dye to visualize the intestinal blood vessels that may be bleeding. Another test is a nuclear medicine study called a tagged red blood cell scan, which tracks the ''red blood cells'' from the blood stream to the gut. Each of these tests can help identify the site of bleeding. Pinpointing the bleeding site becomes additionally important if surgery is ultimately needed.'' No medications as yet have been shown to specifically stop acute GI bleeding in IBD. Nevertheless, the initial approach to IBD-associated GI bleeding is aggressive medical treatment of the underlying inflammation and ulceration. Chronic bleeding might respond to medications if the inflammation resolves and the ulcers heal. If the medications or endoscopic treatments do not stop acute or severe chronic bleeding, however, surgical removal (resection) of the bleeding area of the gut may be necessary.' "
How do intestinal strictures form in IBD?,"'When inflammation is present for a long time (chronic), it sometimes can cause scarring (fibrosis). ''Scar tissue'' is typically not as flexible as healthy tissue. Therefore, when fibrosis occurs in the intestines, the scarring may narrow the width of the passageway (lumen) of the involved segments of the bowel. These constricted areas are called strictures. The strictures may be mild or severe, depending on how much they block the contents of the bowel from passing through the narrowed area.'""Crohn's disease is characterized by inflammation that tends to involve the deeper layers of the intestines. Strictures, therefore, are more commonly found in Crohn's disease than in ulcerative colitis. Additionally, strictures in Crohn's disease may be found anywhere in the gut. Remember that the intestinal inflammation in ulcerative colitis is confined to the inner lining (mucosa) of the colon. Accordingly, in chronic ulcerative colitis, benign (not ""'malignant'') strictures of the colon occur only rarely. In fact, a narrowed segment of the colon in ulcerative colitis may well be caused by a colon cancer rather than by a benign (non-cancerous), chronic inflammatory stricture.' "
"What are symptoms of intestinal strictures, and how are they diagnosed and treated?","'Individuals may not know that they have an intestinal stricture. The stricture may not cause symptoms if it is not causing significant blockage (obstruction) of the bowel. If a stricture is narrow enough to hinder the smooth passage of the bowel contents, however, it may cause abdominal ''pain'', cramps, and ''bloating'' (distention). If the stricture causes an even more complete obstruction of the bowel, patients may experience more severe ''pain'', ''nausea'', ''vomiting'', and an inability to pass stools.''An ''intestinal obstruction'' that is caused by a stricture can also lead to perforation of the bowel. The bowel must increase the strength of its contractions to push the intestinal contents through a narrowing in the bowel. The contracting segment of the intestine above the stricture, therefore, may experience increased pressure. This pressure sometimes weakens the bowel wall in that area, thereby causing the intestines to become abnormally wide (dilated). If the pressure becomes too high, the bowel wall may then rupture (perforate). This perforation can result in a severe infection of the abdominal ''cavity'' (''peritonitis''), abscesses (collections of infection and pus), and fistulas (tubular passageways originating from the bowel wall and connecting to other organs or the skin). Strictures of the small bowel also can lead to bacterial overgrowth, which is yet another intestinal complication of IBD.''Intestinal strictures of the small intestine may be diagnosed with a small bowel follow-through (SBFT) X-ray. For this study, the patient swallows barium, which outlines the inner lining of the small intestine. Thus, the X-ray can show the width of the passageway, or lumen, of the intestine. Upper GI endoscopy (EGD) and enteroscopy are also used for locating strictures in the small intestine. For suspected strictures in the colon, barium can be inserted into the colon (''barium enema''), followed by an X-ray to locate the strictures. Colonoscopy is another diagnostic option.''Intestinal strictures may be composed of a combination of ''scar'' tissue (fibrosis) and tissue that is inflamed and, therefore, swollen. A logical and sometimes effective treatment for these strictures, therefore, is medication to decrease the inflammation. Some medications for IBD, such as infliximab, however, may make some strictures worse. The reason is that these medications may actually promote the formation of scar tissue during the healing process. If the stricture is predominantly scar tissue and is only causing a mild narrowing, symptoms may be controlled simply by changes in the ''diet''. For example, the patient should avoid high ''fiber'' foods, such as raw carrots, celery, beans, seeds, nuts, fiber, bran, and dried fruit.'""If the stricture is more severe and can be reached and examined with an endoscope, it may be treated by stretching (dilation) during the endoscopy. In this procedure, special instruments are used through the endoscope to stretch open the stricture, usually with a balloon thatis passed through an endoscope. Once the balloon traverses the stricture, it is inflated and the force of the balloon dilates the stricture to a bigger size, thus opening the lumen to make it wider. If that doesn't work, some patients will require surgery. Typically, this procedure does not produce long-lasting results.""'Surgery sometimes is needed to treat intestinal strictures. The operation may involve cutting out (resecting) the entire narrowed segment of bowel, especially if it is a long stricture. More recently, a more limited operation, called stricturoplasty, has been devised. In this procedure, the surgeon simply ''cuts'"" open the strictured segment lengthwise and then sews the tissue closed crosswise so as to enlarge the width of the bowel's passageway (lumen). After surgery in Crohn's disease patients, medication still should be taken to prevent inflammation from recurring, especially at the site of the stricture. The reason for this recommendation is that after abdominal operations, recurrent intestinal inflammation is a common problem in Crohn's disease. Furthermore, the risk of post-operative intestinal fistulas and abscesses is increased in Crohn's disease patients. Therefore, only abdominal surgery that is absolutely necessary should be done in patients with Crohn's disease."" "
What are intestinal fistulas?,"""Intestinal fistulas are tubular connections between the bowel and other organs or the skin. Fistulas form when inflammation extends through all of the layers of the bowel and then proceeds to tunnel through the layers of other tissues. Accordingly, fistulas are much more common in Crohn's disease than in  ulcerative colitis. (In the latter, as you recall, the inflammation is confined to the inner lining of the large intestine.) Fistulas often are multiple. They may connect the bowel to other loops of the bowel (enteroenteric fistulas), to the abdominal wall (enterocutaneous), to the skin around the anus (perianal), and to other internal locations such as the urinary bladder (enterovesical), vagina (enterovaginal), muscles, and scrotum."""" In Crohn's disease patients, fistulas may form in conjunction with intestinal strictures. One reason for this association is that both fistulas and strictures can begin with inflammation of the entire thickness of the bowel wall (transmural inflammation). Subsequent scarring (fibrosis) causes strictures while continuing inflammation and tissue destruction leads to the fistulas. A stricture can also help create a fistula. As already mentioned, a perforation of the intestine can occur above an obstructing stricture. The perforation can create a tract outside of the bowel wall. A fistula then may develop in this tract."" "
