Questions,Answer
What are antimitochondrial antibodies (AMA)?,"'Between 95 and 98% of patients with ''primary biliary cirrhosis'' (''PBC'') have autoantibodies (antibodies to self) in their blood that react with the inner lining of mitochondria. These autoantibodies are called antimitochondrial antibodies (AMA). Mitochondria are the energy factories present inside all of our cells, not just the cells of the ''liver'' or bile ducts. (The mitochondria use the oxygen carried in the blood from the ''lungs'' as a fuel to generate energy.) AMA actually bind to protein antigens that are contained in multienzyme complexes (packages of enzymes) within the inner lining of the mitochondria. These multienzyme complexes produce key chemical reactions necessary for life. The complexes are referred to as multienzyme because they are made up of multiple enzyme units.''AMA specifically react against a component of this multienzyme complex called E2. In PBC, AMA preferentially react with the E2 component of one of the multienzymes that is called the pyruvate dehydrogenase complex (PDC). Accordingly, the antigen is designated as PDC-E2. The practical importance of all of this is that the PDC-E2 antigen is now used, as discussed below, in a diagnostic test for PBC. The PDC-E2 antigen is also referred to as M2, a term introduced to designate it as the second mitochondrial antigen discovered by researchers interested in PBC.'  "
Do AMA cause the destruction of the bile ducts in PBC?,"'In as much as the bile ducts are the main targets of destruction in PBC, the question was asked whether the AMA reacts with the epithelial cells that line the bile ducts. So, investigators prepared antibodies to PDC-E2. As expected, they found that these antibodies bound to the mitochondria within the cells. But, sure enough, recent information suggests that these AMA autoantibodies also bind to PDC-E2 that lies outside the mitochondria, yet within the epithelial cells lining the bile ducts.''This accumulation of PDC-E2 within the biliary epithelial cells is observed exclusively in the livers of patients with PBC, and not in normal livers or in livers from patients with any other types of ''liver disease''. Interestingly, it was also observed in the livers of those two to five percent of PBC patients who do not have AMA in their blood (AMA-negative PBC). Furthermore, intense binding of these antibodies to biliary epithelial cells was also found to be the earliest indication of recurrence of PBC in a transplanted liver. (PBC is sometimes treated by liver transplantation.)''Nevertheless, no evidence exists that the AMA itself causes the destruction of the biliary epithelial cells lining the small bile ducts. Neither the presence nor the amount (titer) of AMA in the blood appears to be related to the inflammatory destruction of the bile ducts. Indeed, immunization of animals with PDC-E2 antigen results in production of AMA without any liver or bile duct damage (pathology).' "
How is the blood test for AMA done?,"""The most economical test for AMA applies diluted samples of a patient's serum onto tissue sections from rat stomach or kidney in the laboratory. (Remember that mitochondria are present in virtually all cells, not just the cells of the liver and bile ducts.) Serum antibodies that attach (bind) to mitochondrial membranes within the tissue cells can then be observed with a microscope. The most dilute sample of serum showing this binding reaction is reported, using the term titer. The titer indicates the most dilute serum sample that reacts with the tissue mitochondria. A higher titer means there is a greater amount of AMA in the serum.""'The antigen recognized by AMA in patients with PBC is now known to be PDC-E2 and is also often referred to as the M2 antigen. So, newly developed tests for antibodies that bind to PDC-E2 are more specific and are now available to confirm the diagnosis of PBC.' "
What is the value of the AMA blood test?,"'AMA are detectable in the serum in 95 to 98% of patients with PBC. So, AMA are tremendously important as a diagnostic marker in patients with PBC. The AMA titers in PBC are almost universally greater than or equal to 1 to 40. This means that a serum sample diluted with 40 times its original volume still contains enough antimitochondrial antibodies to be detected in the binding reaction. A positive AMA with a titer of at least 1:40 in an adult with an elevated ''alkaline phosphatase'' in the blood is highly specific for a diagnosis of PBC.' "
What is macular degeneration?,"'Macular degeneration is a common, painless eye condition in which the central portion of the retina deteriorates and does not function adequately.' "
What is the retina?,"'The retina is the light sensitive tissue located in the back of the eye. It is like the film in a camera, recording the images we see and sending them via the ''optic nerve'' from the eye to the brain. The retina almost instantly converts light images into electrical impulses through a chemical reaction. The retina then sends these impulses or signal, to the brain, where we interpret what we see, process the visual information, and relate what we see to the rest of our environment.' "
What is the macula?,"'The macula is a small portion of the retina located in the central portion of the retina. The macula is responsible for central vision (straight-ahead vision) and provides the ability to see fine detail in your direct line of sight. We use the macula of each eye to have the clear vision that allows us to read, drive a car, and recognize faces or colors. The non-macular areas of the retina provide us with both our side vision and best night vision.' "
What is age-related macular degeneration (AMD)?,"'While there are many causes of macular degeneration, including genetic abnormalities such as Stargardt disease, ''age-related macular degeneration'' (AMD or ARMD) is by far the most common type. AMD is a disease associated with ''aging'' that gradually destroys the sharp central vision needed for seeing objects clearly and for common daily tasks such as reading and driving. In some cases, AMD advances so slowly that people notice little change in their vision. In others, the disease progresses faster and may lead to a ''loss of vision'' in one or both eyes. AMD is the leading cause of ''vision loss'' in Americans 60 years of age and older. AMD usually affects both eyes, although the clinical appearance and degree of visual loss may vary a great deal between the two eyes.''AMD occurs in two forms. ""Wet"" age-related macular degeneration is less common but more aggressive in its progression to severe central vision loss. ""Dry"" age-related macular degeneration is the more common type and is more slowly progressive in causing visual loss.''Doctors classify AMD as to its severity, using terms such as mild, moderate, or severe. These terms are subjective and not based on specific characteristics.'  "
What is wet age-related macular degeneration?,"""Wet AMD occurs when abnormal blood vessels grow from the choroid (the layer of blood vessels between the retina and the outer firm coat of the eye called the sclera) under and into the macular portion of the retina. These new blood vessels (known as choroidal neovascularization or CNV) tend to be very fragile and often leak blood and fluid. The blood and fluid raise the macula from its normal place at the back of the eye, interfere with the retina's function, and cause the central vision to blur. Under these circumstances, vision loss may be rapid and severe. Some patients, however, do not notice visual changes despite the onset of CNV. Therefore, periodic eye examinations are very important for patients at risk for CNV.""'Once CNV has developed in one eye, whether there is a visual loss or not, the other eye is at relatively high risk for the same change.''The CNV of all wet AMD is potentially a cause of significant visual loss, whether or not there is major visual decrease at the time of diagnosis. Wet AMD does not have specific stages like dry AMD. The wet form generally leads to significantly more vision loss than the dry form.''All people who have the dry form of AMD are at risk for development of the wet form. Most people who have the wet form had the dry form first. The dry form can advance and cause vision loss without turning into the wet form. The dry form also suddenly can turn into the wet form. Currently, there is no certain way to predict if or when the dry form will turn into the wet form.' "
What are retinal drusen?,"'Retinal drusen are yellow deposits under the retina. They often appear in people over 60 years of age. Your ''eye care'' professional can detect drusen during a comprehensive dilated eye exam.'""Drusen alone do not usually cause vision loss. In fact, scientists are unclear about the connection between drusen and AMD. It is not clear whether an increase in the size or number of drusen raises a person's risk of developing either advanced dry AMD or wet AMD."" "
