Questions,Answer
Facts you should know about rheumatoid arthritis (RA),"   Rheumatoid arthritis signs and symptoms includejoint pain, such as in the joints of the feet, hands, and knees,swollen joints,fever,limping,loss of range of motion,tender joints,loss of joint function,stiff joints,fatigue,joint redness,rheumatoid nodules,anemia,joint warmth,joint deformity, andsymptoms and signs that affect both sides of the body (symmetry). joint pain, such as in the joints of the feet, hands, and knees, swollen joints, fever, limping, loss of range of motion, tender joints, loss of joint function, stiff joints, fatigue, joint redness, rheumatoid nodules, anemia, joint warmth, joint deformity, and symptoms and signs that affect both sides of the body (symmetry). In rheumatoid arthritis, multiple joints are usually, but not always, affected (polyarthritis) in a symmetrical pattern. Damage to joints can occur early and does not always correlate with the severity of RA symptoms. The ""rheumatoid factor"" is an antibody that can be found in the blood of 80% of people with rheumatoid arthritis. Rheumatoid factor is detected in a simple blood test. Possible risk factors for developing rheumatoid arthritis include genetic background, smoking, silica inhalation, periodontal disease, and microbes in the bowels (gut bacteria). There is no cure for RA. The treatment of rheumatoid arthritis optimally involves a combination of patient education, rest and exercise, joint protection, medicines, and occasionally surgery. Early RA treatment results in a better prognosis. The cause of rheumatoid arthritis is not known. Rheumatoid arthritis can affect people of all ages. NSAIDs, DMARDs, TNF alpha inhibitors, IL-6 inhibitors, T-cell activation inhibitors, B-cell depleters, JAK inhibitors, immunosuppressants, and steroids treat RA. Researchers have developed medicines that are biosimilar to biologic drugs, and many others are currently under study."
What is rheumatoid arthritis (RA)?,"'Rheumatoid arthritis (RA) is an autoimmune disease that causes chronic inflammation of the joints. Autoimmune diseases are illnesses that occur when the body\'s tissues are mistakenly attacked by their own immune system. The immune system contains a complex organization of cells and antibodies designed normally to ""seek and destroy"" invaders of the body, particularly infections. Patients with autoimmune diseases have antibodies and immune cells in their blood that target their own body tissues, where they can be associated with inflammation. While joint tissue inflammation and inflammatory arthritis are classic RA features, the disease can also cause extra-articular inflammation and injury in other organs.''Because it can affect multiple other organs of the body, rheumatoid arthritis is referred to as a systemic illness and is sometimes called rheumatoid disease.' Rheumatoid arthritis is a classic rheumatic disease. Rheumatoid arthritis that begins in people under 16 years of age is referred to as juvenile idiopathic arthritis or JIA (formerly juvenile rheumatoid arthritis or JRA)."
What are rheumatoid arthritis symptoms and signs?,"'RA symptoms come and go, depending on the degree of tissue inflammation. When body tissues are inflamed, the disease is active. When tissue inflammation subsides, the disease is inactive (in remission). Remissions can occur spontaneously or with treatment and can last weeks, months, or years. During remissions, symptoms of the disease disappear, and people generally feel well. When the disease becomes active again (relapse), symptoms return. The return of disease activity and symptoms is called a flare. The course of rheumatoid arthritis varies among affected individuals, and periods of flares and remissions are typical.''When the disease is active, RA symptoms and signs can include''People with active inflammation of joints from RA can also experience''Muscle and ''joint stiffness'' are usually most notable in the morning and after periods of inactivity. This is referred to as morning stiffness and post-sedentary stiffness. Arthritis is common during disease flares. Also during flares, joints frequently become warm, red, swollen, painful, and tender. This occurs because the lining tissue of the joint (synovium) becomes inflamed, resulting in the production of excessive joint fluid (synovial fluid). The synovium also thickens with inflammation (synovitis).''Rheumatoid arthritis usually inflames multiple joints and affects both sides of the body. In its most common form, therefore, it is referred to as a symmetric polyarthritis.' 

Read Doctor's View
   fatigue, loss of energy, lack of appetite, low-grade fever, muscle and joint pain, joint redness, joint swelling, joint tenderness, joint warmth, joint deformity, rheumatoid nodules, stiffness, loss of joint range of motion, loss of joint function, and limping. depression, anemia frustration, and social withdrawal. Early rheumatoid arthritis symptoms may be subtle. The small joints of both the hands and wrists are often involved. Early symptoms of RA can be pain and prolonged stiffness of joints, particularly in the morning. Symptoms in the hands with rheumatoid arthritis include difficulty with simple tasks of daily living, such as turning door knobs and opening jars. The small joints of the feet are also commonly involved, which can lead to painful walking, especially in the morning after arising from bed. Occasionally, only one joint is inflamed. When only one joint is involved, the arthritis can mimic the joint inflammation caused by other forms of arthritis, such as gout or joint infection. Chronic inflammation can cause damage to body tissues, including cartilage and bone. This leads to a loss of cartilage and erosion and weakness of the bones as well as the muscles, resulting in joint deformity, loss of range of motion, destruction, and loss of function. Rarely, rheumatoid arthritis can even affect the joint that is responsible for the tightening of our vocal cords to change the tone of our voice, the cricoarytenoid joint. When this joint is inflamed, it can cause hoarseness of the voice. Symptoms in children with rheumatoid arthritis include limping, irritability, crying, and poor appetite."
Rheumatoid arthritis vs. osteoarthritis,"'Rheumatoid arthritis is a destructive joint disease that is caused by inflammation in the tissue that normally produces lubrication fluid for joints. When this tissue remains inflamed, it leads to deformity by loosening joint ligaments and to joint destruction by eroding away cartilage and bone.''Osteoarthritis'' is a noninflammatory joint disease whereby the cartilage of the joint thins, typically asymmetrically -- so only one knee or hand may be affected. The illustration on the previous page shows the difference between a normal joint and those of ''osteoarthritis'' and rheumatoid arthritis.''While rheumatoid arthritis is a chronic illness, meaning it can last for years, patients may experience long periods without symptoms. However, rheumatoid arthritis is typically a progressive illness that has the potential to cause significant joint destruction and functional disability.''A joint is where two bones meet to allow movement of body parts. Arthritis means joint inflammation. The joint inflammation of rheumatoid arthritis causes swelling, pain, stiffness, and redness in the joints. The inflammation of rheumatoid disease can also occur in tissues around the joints, such as the tendons, ligaments, and muscles.''In some people with rheumatoid arthritis, chronic inflammation leads to the destruction of the cartilage, bone, and ligaments, causing deformity of the joints. Damage to the joints can occur early in the disease and be progressive. Moreover, studies have shown that the progressive damage to the joints does not necessarily correlate with the degree of pain, stiffness, or swelling present in the joints.''Rheumatoid arthritis is a common rheumatic disease, affecting approximately 1.3 million people in the United States, according to current census data. The disease is three times more common in women as in men. It afflicts people of all races equally. The disease can begin at any age and even affects children (''juvenile idiopathic arthritis''), but it most often starts after 40 years of age and before 60 years of age. Though uncommon, in some families, multiple members can be affected, suggesting a genetic basis for the disorder.' 

Read Doctor's View
  "
What are rheumatoid arthritis causes and risk factors?,"'The cause of rheumatoid arthritis is unknown. Even though infectious agents such as ''viruses'', bacteria, and fungi have long been suspected, none has been proven as the cause. The cause of rheumatoid arthritis is a very active area of worldwide research. It is believed that the tendency to develop rheumatoid arthritis may be genetically ''inherited'"" (hereditary). Certain genes have been identified that increase the risk for rheumatoid arthritis. It is also suspected that certain infections or factors in the environment might trigger the activation of the immune system in susceptible individuals. This misdirected immune system then attacks the body's own tissues. This leads to inflammation in the joints and sometimes in various organs of the body, such as the ""'lungs'' or eyes.''It is not known what triggers the onset of rheumatoid arthritis. Regardless of the exact trigger, the result is an immune system that is geared up to promote inflammation in the joints and occasionally other tissues of the body. Immune cells, called lymphocytes, are activated and chemical messengers (cytokines, such as ''tumor'' necrosis factor/TNF, interleukin-1/IL-1, and interleukin-6/IL-6) are expressed in the inflamed areas.''Environmental factors also seem to play some role in causing rheumatoid arthritis. For example, scientists have reported that ''smoking'' tobacco, exposure to silica mineral, and chronic periodontal disease all increase the risk of developing rheumatoid arthritis.''There are theories about gut bacteria (the microbiome of gut microbes that naturally exist in the lining of the bowels) that may trigger the onset of RA in genetically susceptible people. No specific microbes have been identified as definite causes.' "
What are rheumatoid arthritis complications?,"'Since rheumatoid arthritis is a systemic disease, its inflammation can affect organs and areas of the body other than the joints.' Arthritis-related inflammation of the glands of the eyes and mouth can cause dryness of these areas and is referred to as Sjögren's syndrome. Dryness of the eyes can lead to corneal abrasion. Inflammation of the white parts of the eyes (the sclerae) is referred to as scleritis and can be very dangerous to the eye. Rheumatoid inflammation of the lung lining (pleuritis) causes chest pain with deep breathing, shortness of breath, or coughing. The lung tissue itself can also become inflamed and scarred, and sometimes nodules of inflammation (rheumatoid nodules) develop within the lungs. Inflammation of the tissue (pericardium) surrounding the heart, called pericarditis, can cause a chest pain that typically changes in intensity when lying down or leaning forward. Rheumatoid arthritis is associated with an increased risk for heart attack. Rheumatoid disease can reduce the number of red blood cells (anemia) and white blood cells. Decreased white cells can be associated with an enlarged spleen (referred to as Felty's syndrome) and can increase the risk of infections. The risk of lymph gland cancer (lymphoma) is higher in patients with rheumatoid arthritis, especially in those with sustained active joint inflammation. Firm lumps or firm bumps under the skin (subcutaneous nodules called rheumatoid nodules) can occur around the elbows and fingers where there is frequent pressure. Even though these nodules usually do not cause symptoms, occasionally they can become infected. Nerves can become pinched in the wrists to cause carpal tunnel syndrome. A rare, serious complication, usually with longstanding rheumatoid disease, is blood vessel inflammation (vasculitis). Vasculitis can impair blood supply to tissues and lead to tissue death (necrosis). This is most often initially visible as tiny black areas around the nail beds or as leg ulcers."
What tests do physicians use to diagnose rheumatoid arthritis?,"'There is no singular test for diagnosing rheumatoid arthritis. The diagnosis is based on the clinical presentation. Ultimately, rheumatoid arthritis is diagnosed based on a combination of the following:''Understand that many forms of joint disease mimic rheumatoid arthritis.'   Presentation of the joints involved Characteristic joint swelling and stiffness in the morning The presence of blood rheumatoid factor (RF blood test or RA test) and citrulline antibody The presence of rheumatoid nodules and radiographic changes (X-ray testing) The first step in the diagnosis of rheumatoid arthritis is a meeting between the doctor and the patient. The doctor reviews the history of symptoms. Then the doctor checks the joints for inflammation, tenderness, swelling, and deformity and looks for rheumatoid skin nodules. Rheumatoid nodules are firm lumps or bumps under the skin, most commonly over the elbows or fingers). The doctor will also check other parts of the body for inflammation. Certain blood and X-ray tests are often obtained. The diagnosis will be based on the pattern of symptoms, the distribution of the inflamed joints, and the blood and X-ray findings. Several visits may be necessary before the doctor can be certain of the diagnosis. A doctor with special training in arthritis and related diseases is called a rheumatologist. Joint inflammation helps to distinguish rheumatoid arthritis from common types of arthritis that are not inflammatory, such as osteoarthritis or degenerative arthritis. The distribution of joint inflammation is also important to the doctor in making a diagnosis. In rheumatoid arthritis, the small joints of the hands and fingers, wrists, feet, and knees are typically inflamed in a symmetrical distribution (affecting both sides of the body). When only one or two joints are inflamed, the diagnosis of rheumatoid arthritis becomes more difficult. The doctor may then perform other tests to exclude arthritis due to infection or gout. The detection of rheumatoid nodules (described above), most often around the elbows and fingers, can suggest the diagnosis. Abnormal antibodies can be found in the blood of people with rheumatoid arthritis with simple blood testing. An antibody called ""rheumatoid factor"" (RF) can be found in 80% of patients with rheumatoid arthritis. Patients with rheumatoid arthritis and rheumatoid factor are referred to as having ""seropositive rheumatoid arthritis."" Patients who are felt to have rheumatoid arthritis and do not have positive rheumatoid factor testing are referred to as having ""seronegative rheumatoid arthritis."" Citrulline antibody (also referred to as anti-citrulline antibody, anti-cyclic citrullinated peptide antibody, and anti-CCP antibody) is present in 50%-75% people with rheumatoid arthritis. It is useful in the diagnosis of rheumatoid arthritis when evaluating cases of unexplained joint inflammation. A test for anti-citrullinated protein antibodies helps in looking for the cause of previously undiagnosed inflammatory arthritis when rheumatoid factor is not present. Citrulline antibodies have been felt to represent the earlier stages of rheumatoid arthritis in this setting. Citrulline antibodies also have been associated with more aggressive forms of rheumatoid arthritis. Another antibody called the ""antinuclear antibody"" (ANA) is also frequently found in people with rheumatoid arthritis. It should be noted that many forms of arthritis in childhood (juvenile inflammatory arthritis) are not associated with blood test positivity for rheumatoid factors. In this setting, juvenile rheumatoid arthritis must be distinguished from other types of joint inflammation. These include plant thorn arthritis, joint injury, arthritis of inflammatory bowel disease, and rarely joint tumors. A blood test called the sedimentation rate (sed rate) is a crude measure of the inflammation of the joints. The sed rate actually measures how fast red blood cells fall to the bottom of a test tube. The sed rate is usually faster (high) during disease flares and slower (low) during remissions. Another blood test that is used to measure the degree of inflammation present in the body is the C-reactive protein. Blood testing may also reveal anemia, since anemia is common in rheumatoid arthritis, particularly because of the chronic inflammation. The rheumatoid factor, ANA, sed rate, and C-reactive protein tests can also be abnormal in other systemic autoimmune and inflammatory medical conditions. Therefore, abnormalities in these blood tests alone are not sufficient for a firm diagnosis of rheumatoid arthritis. Joint X-rays may be normal or only show swelling of soft tissues early in the disease. As the disease progresses, X-rays can reveal bony erosions typical of rheumatoid arthritis in the joints. Joint X-rays can also be helpful in monitoring the progression of disease and joint damage over time. Bone scanning, a procedure using a small amount of a radioactive substance, can also be used to show the inflamed joints. MRI scanning can also be used to show joint damage. The doctor may elect to perform an office procedure called arthrocentesis. In this procedure, a sterile needle and syringe are used to drain joint fluid out of the joint for study in the laboratory. Analysis of the joint fluid in the laboratory can help to exclude other causes of arthritis, such as infection and gout. Arthrocentesis can also be helpful in relieving joint swelling and pain. Occasionally, cortisone medicines are injected into the joint during the arthrocentesis in order to rapidly relieve joint inflammation and further reduce symptoms."
What are the 4 stages of rheumatoid arthritis?,"'The American College of ''Rheumatology'' has developed a system for classifying rheumatoid arthritis that is primarily based upon the X-ray appearance of the joints. This system helps medical professionals classify the severity of your rheumatoid arthritis with respect to cartilage, ligaments, and bone.''Stage I (early RA)''Stage II (moderate progressive)''Stage III (severe progression)''Stage IV (terminal progression)''Rheumatologists'' also classify the functional status of people with rheumatoid arthritis as follows:' No damage seen on X-rays, although there may be signs of bone thinning On X-ray, evidence of bone thinning around a joint with or without slight bone damage Slight cartilage damage possible Joint mobility may be limited; no joint deformities observed Atrophy of adjacent muscle Abnormalities of soft tissue around joint possible On X-ray, evidence of cartilage and bone damage and bone thinning around the joint Joint deformity without permanent stiffening or fixation of the joint Extensive muscle atrophy Abnormalities of soft tissue around joint possible On X-ray, evidence of cartilage and bone damage and osteoporosis around joint Joint deformity with permanent fixation of the joint (referred to as ankylosis) Extensive muscle atrophy Abnormalities of soft tissue around joint possible Class I: completely able to perform usual activities of daily living Class II: able to perform usual self-care and work activities but limited in activities outside of work (such as playing sports, household chores) Class III: able to perform usual self-care activities but limited in work and other activities Class IV: limited in ability to perform usual self-care, work, and other activities"
What are rheumatoid arthritis treatment options?," There is no known cure for rheumatoid arthritis. To date, the goal of treatment in rheumatoid arthritis is to reduce joint inflammation and pain, maximize joint function, and prevent joint destruction and deformity. Early medical intervention has been shown to be important in improving outcomes. Aggressive management can improve function, stop damage to joints as monitored on X-rays, and prevent work disability. Optimal RA treatment involves a combination of medicines, rest, joint-strengthening exercises, joint protection, and patient (and family) education. Treatment is customized according to many factors such as disease activity, types of joints involved, general health, age, and patient occupation. RA treatment is most successful when there is close cooperation between the doctor, patient, and family members."
What are types of rheumatoid arthritis medicines?,"'Two classes of medicines are used in treating rheumatoid arthritis: fast-acting ""first-line drugs"" and slow-acting ""second-line drugs"" (also referred to as disease-modifying antirheumatic drugs or DMARDs).''The degree of destructiveness of RA varies among affected individuals. Those with less destructive RA or disease that has quieted after many active years can manage their RA with rest plus pain control and anti-inflammatory drugs. Early treatment with second-line drugs (DMARD) improves function and minimizes disability and joint destruction, even within months of the diagnosis. Most people require more aggressive second-line drugs, such as methotrexate, in addition to anti-inflammatory agents. Sometimes these second-line drugs are used in combination.'   The first-line drugs, such as aspirin and cortisone (corticosteroids [Rayos, Celestone, Depo-Medrol, Kenalog]), are used to reduce pain and inflammation. The slow-acting second-line drugs, such as methotrexate (Rheumatrex, Trexall, Otrexup, Rasuvo) and hydroxychloroquine (Plaquenil), promote disease remission and prevent progressive joint destruction. The areas of the body other than the joints that are affected by rheumatoid inflammation are treated individually. Sjögren's syndrome can be helped by artificial tears and humidifying rooms in the home or office. Medicated eyedrops, cyclosporine ophthalmic drops (Restasis), are also available to help the dry eyes in those affected. Regular eye checkups and early antibiotic treatment for infection of the eyes are important. Inflammation of the tendons (tendinitis), bursae (bursitis), and rheumatoid nodules can be injected with cortisone. Inflammation of the lining of the heart and/or lungs may require high doses of oral cortisone. In some cases with severe joint deformity, surgery may be recommended to restore joint mobility or repair damaged joints. Doctors who specialize in joint surgery are orthopedic surgeons. The types of joint surgery range from arthroscopy to partial and complete replacement of the joint. Arthroscopy is a surgical technique whereby a doctor inserts a tube-like instrument into the joint to see and repair abnormal tissues. Total joint replacement is a surgical procedure whereby a destroyed joint is replaced with artificial materials. For example, the small joints of the hand can be replaced with plastic material. Large joints, such as the hips or knees, are replaced with metals."
