Questions,Answer
Is masago a caviar?,"'Masago and caviar are both fish roe (fish eggs) from different species of fish. Only the roe from sturgeon fish is called “true caviar.” So, technically, masago is not caviar. Both masago and caviar are used as a garnish and not as the main ingredient. However, there are differences between these two types of fish eggs.''Table 1. The Differences Between Masago and Caviar''Salty, smoky and slightly bitter''Protein''Fatty acids''Magnesium''Selenium''Vitamin B-12''Sodium''Fats''Omega-3 fatty acids''Amino acids' Glutamic acid Lysine Phenylalanine Lysine Leucine"
What is masago?,"'Masago is a type of fish roe or fish eggs used mainly in sushi preparation. It is often prepared from the roe of the capelin fish found primarily in the Arctic, Pacific and Atlantic oceans. Capelin belongs to the family of small fish that are a meal for larger fish, thus making it a significant part of the food chain. Masago is highly nutritious and makes a great accompaniment with rice. Masago is commonly used in Japanese dishes and sushi rolls. Overfishing of these fish has been banned because it may cause disturbances in the food chain or ecological system.' "
What is caviar?,"'Similar to masago, caviar is also fish roe prepared from the roe of the wild sturgeon fish. It is one of the most luxurious foods that originated from Russia and the Persian empire. There are different types of sturgeon caviar, which include''The ''omega-3 fatty acids'' in caviar are anti-inflammatory and they are also beneficial for the function of the brain, ''heart'' and eyes.' Beluga Kaluga Osetra Sevruga Sterlet Siberian sturgeon White sturgeon Hackleback Paddlefish"
What are the health benefits of fish roe?,"'Fish roe is very nutritious.''Table 2. The Nutritional Components of Fish Roe''45%''40.3\xa0mcg''The health benefits of eating such a nutritious food includes' Confers protects against heart disease No weight gain due to its low caloric content Boosts energy  Boosts nerve health Aids in the proper functioning of the eyes, brain and heart Reduces oxidative stress and boosts the immune system Helps in weight loss because it is high in protein Provides all the essential amino acids necessary for good health"
What are the sacroiliac (SI) joints?,"'The sacroiliac (SI) joints are formed by the connection of the ''sacrum'' and the right and left iliac bones. The sacrum is the triangular-shaped bone in the lower portion of the spine, centrally located below the lumbar spine. While most of the bones (vertebrae) of the spine are mobile, the sacrum is made up of five vertebrae that are fused together and do not move. The iliac bones are the two large bones that make up the pelvis. As a result, the SI joints connect the spine to the pelvis. The sacrum and the iliac bones (ileum) are held together by a collection of strong ligaments. There is relatively little motion at the SI joints. There are normally less than 4 degrees of rotation and 2 mm of translation at these joints. Most of the motion in the area of the pelvis occurs either at the hips or the lumbar spine. These joints do need to support the entire weight of the upper body when we are erect, which places a large amount of ''stress'' across them. This can lead to wearing of the cartilage of the SI joints and ''arthritis''.' "
What is sacroiliac joint dysfunction?,"'There are many different terms for sacroiliac joint problems, including SI joint dysfunction, sacroiliac joint disease, SI joint syndrome, SI joint strain, and SI ''joint inflammation''. Each of these terms refers to a condition that causes ''pain'' in the SI joints from a specific cause.'  "
What are the causes of sacroiliac joint dysfunction?,"'As with most other joints in the body, the SI joints have a cartilage layer covering the bone. The cartilage allows for some movement and acts as a ''shock'' absorber between the bones. When this cartilage is damaged or worn away, the bones begin to rub on each other, and ''degenerative arthritis'' (''osteoarthritis'') occurs. This is the most common cause of SI joint dysfunction. Degenerative arthritis occurs commonly in the SI joints, just like other weight-bearing joints of the body.''Another common cause of SI joint dysfunction is ''pregnancy'"". During pregnancy, hormones are released in the woman's body that allow ligaments to relax. This prepares the body for ""'childbirth''. Relaxation of the ligaments holding the SI joints together allows for increased motion in the joints and can lead to increased stresses and abnormal wear. The additional weight and ''walking'' pattern (altered gait) associated with pregnancy also places additional ''stress'' on the SI joints.''Any condition that alters the normal walking pattern places increased stress on the SI joints and is a risk factor for SI joint dysfunction. This could include a leg length discrepancy (one leg longer than the other), or ''pain'' in the hip, knee, ankle, or foot. Patients with severe pain in the lower extremity often develop problems with either the lower back (lumbar spine) or SI joints. Usually, if the underlying problem is treated, the associated lumbar spine or SI joint dysfunction will also improve.''There are many disorders that affect the joints of the body that can also cause inflammation in the SI joints. These include ''gout'', ''rheumatoid arthritis'', ''psoriatic arthritis'', ''reactive arthritis'', and ''ankylosing spondylitis''. These are all various forms of arthritis that can affect all joints. ''Ankylosing spondylitis'' is an inflammatory arthritis that always affects the SI joints. It can lead to ''stiffness'' and severe pain in the SI joints, due to inflammation in the sacroiliac joints (sacroiliitis). As the disease process continues, the SI joints can fuse together and have no range of motion. Once this occurs, there is no further pain associated with the SI joints. Rarely, bacterial infection can involve the sacroiliac joints.' "
What are sacroiliac joint dysfunction symptoms?,"'The most common symptom of SI joint dysfunction is sacroiliac ''joint pain''. Patients often experience pain in the lower back or the back of the hips. Pain may also be present in the groin and thighs. In many cases, it can be difficult to determine the exact source of the pain. Your physician can perform specific tests to help isolate the source of the pain. The pain is typically worse with standing and walking and improved when lying down. Inflammation and arthritis in the SI joint can also cause stiffness and a burning sensation in the pelvis.' "
How do health care professionals diagnose sacroiliac joint dysfunction?,"""The first step in diagnosis is typically a thorough history and physical examination by a physician. The physician will ask questions to determine if there are any underlying disorders that could be causing the patient's pain. Certain signs can also help differentiate pain coming from the SI joints, lumbar spine, or hips. There are various tests a physician can perform during the physical examination that can help isolate the source of the pain. By placing the patient's hips and legs in certain positions and applying pressure, the SI joints can be moved or compressed to identify them as a source of pain. Other portions of the examination are to exclude certain possibilities that could mimic sacroiliac disease."" "
How do health care professionals diagnose sacroiliac joint dysfunction? (Part 2),"'The next step in diagnosis is often plain radiographs (''X-rays''). The patient may have X-rays of the pelvis, hips, or lumbar spine depending on what the physician finds on the history and physical examination. A computed tomography (CAT or CT) scan may also help in the diagnosis. A ''CT scan'' gives a more detailed look at the joint and bones. Both X-rays and ''CT scans'' can help identify sacroiliitis. This can appear as sclerosis in the joints. More severe wear in the joints can appear as erosion of the bone around the SI joints. These tests can also look for fusion of the SI joints. A ''magnetic resonance imaging'' (''MRI'') scan can also be helpful. This provides a better evaluation of the soft tissues, including muscles and ligaments. It can also identify subtle ''fractures'' that may not be visible on an X-ray. The MRI can identify inflammation in the SI joint by the presence of excessive fluid in the joint. A ''bone scan'' can be obtained to help isolate the source of the pain and can be used to identify bony abnormalities. The bone scan can identify areas of increased activity in the bone. This is a nonspecific test and can be positive in cases of arthritis, infection, ''fracture'', or tumors of bone.' "
