Questions,Answer
Why do people need vaccines? What is immunization? What is immunity?,"'Vaccines'' are medications that boost our ability to fight off certain diseases. Many of the vaccine-preventable diseases are highly ''contagious'' and even fatal in non-immunized individuals (Table 1). Prior to the development of ''vaccines'', these diseases disabled or killed millions of people. Many people living in developed countries today do not appreciate the value of immunizations because the successful use of vaccines has almost eradicated many of these diseases. These diseases are still dangerous and can kill people who are not adequately protected from them.''Immunization is the act of receiving a vaccine. Immunity is the ability of the body to recognize specific infecting organisms as foreign and thereby protect against them.' "
How can people become immune (protected)?,"'Immunity (protection) can occur one of two ways:' Active immunityThe first way to become immune is by actually getting the natural disease. For many organisms, this confers immunity for life. When the person is exposed again to the organism, the immune system quickly reestablishes protection.The second way to become immune is through the use of a vaccine. The vaccine interacts with the immune system and creates the same protection as if the person had the natural infections. This is done without being exposed to the risks involved with getting the natural infection. The first way to become immune is by actually getting the natural disease. For many organisms, this confers immunity for life. When the person is exposed again to the organism, the immune system quickly reestablishes protection. The second way to become immune is through the use of a vaccine. The vaccine interacts with the immune system and creates the same protection as if the person had the natural infections. This is done without being exposed to the risks involved with getting the natural infection. Passive immunityNewborn babies receive immunity from their mothers. This only lasts for a period of months, and this is why newborns need to start receiving immunizations shortly after birth.For some diseases, there are shots that contain antibodies against some diseases (immune globulin). Examples of diseases for which we have immune globulin include rabies and hepatitis. Newborn babies receive immunity from their mothers. This only lasts for a period of months, and this is why newborns need to start receiving immunizations shortly after birth. For some diseases, there are shots that contain antibodies against some diseases (immune globulin). Examples of diseases for which we have immune globulin include rabies and hepatitis."
Are there different types of vaccines?,"'There are two major categories of vaccines.' The first category of vaccine is made from live viruses that have been ""attenuated"" or weakened so that they do not cause the disease (Table 2). Usually, any symptoms caused by the vaccine is milder than the natural disease. The attenuated viruses elicit a strong immune response as the virus is very close to the virus that causes the disease. The second category of vaccine, inactivated vaccine, is produced by growing the bacterium or virus in culture and then inactivating it (killing it) by using heat or chemicals (Table 3). These vaccines cannot cause the disease, but allow the body to develop immunity. While these vaccines are safer, they do not produce protection as good as that from the live vaccines."
Can people receive multiple vaccinations during one visit to the doctor?,"'Simultaneous administration (vaccines given at the same visit but not in the same shot) of most commonly used vaccines does not decrease the response to the vaccines or increase the risk for adverse reactions. The simultaneous administration of vaccines was instituted to increase compliance with recommended immunization schedules. If people have to come back many times to get additional shots, there is an increased chance that they will not get all recommended ''vaccinations''. In children, there are now a few combination shots that contain multiple vaccines in a single shot. Most of these are approved for use in adults, except Tdap (a three-vaccine combination) and one containing ''measles''/''mumps''/''rubella'' (MMR). There is an ongoing controversy in the public media about giving ""too many"" vaccines at one time to little children. Physicians, however, do not believe that children are at risk from ""too many"" vaccinations given at one time.' "
Are there any dangers to being immunized?,"'There is no such thing as a risk-free vaccine. However, the health risk of not being vaccinated is real and is clearly greater than that of being vaccinated. Most side effects from vaccinations are mild and limited to local reactions at the injection site and/or a mild ''fever''. Unfortunately, there are rare serious and even fatal side effects related to vaccines. While these events are sad, not taking the vaccine could also result in death or disability.' "
Can people with severe egg allergies still get an annual influenza vaccination?,"'In December 2017, the American College of ''Allergy'', ''Asthma'', and Immunology published an updated guideline and recommended that patients with egg ''allergy'' receive the ''influenza'' vaccine. Even though the vaccine is currently manufactured in eggs, there is only minimal egg protein in the vaccine. There is no increased risk of reaction in patients with egg ''allergy''.''With this new recommendation to utilize the routine influenza vaccine in patients with egg allergy, there is no need to utilize the egg-free vaccine that was released in 2013. Therefore, although the recombinant hemagglutinin influenza vaccine (RIV) is not made using eggs, it is no longer needed.' "
What reactions are likely after an immunization?,"'Most reactions to vaccines are mild and self-limited. These are usually limited ''pain'', swelling, and redness at the site of the vaccination. These occur in up to 80% of individuals and start within hours of the vaccination. Some people can get more generalized symptoms, including ''fever'', muscle aches, ''headache'', ''loss of appetite'', and feeling generally tired. These systemic (generalized) reactions are seen more commonly with live attenuated vaccines and usually occur seven to 21 days after the vaccine was given. The worst (and very uncommon) reaction is ''anaphylaxis'' (a ''severe allergic reaction''). These reactions usually occur shortly after the vaccine is given and can be life-threatening. Fortunately, these reactions only occur two times for every million doses of vaccine given.' "
Who should not receive a vaccine?,"'There are two types of contraindications (reasons not to give a vaccine): permanent and temporary.'  The following are permanent contraindications to vaccination:severe allergic reaction to a vaccine component (animal proteins [eggs], antibiotic, stabilizer, or preservative) or following a previous dose of the vaccine;encephalopathy within seven days of a pertussis vaccination (not from another identifiable cause). This reaction is very rare since the introduction of acellular pertussis vaccine. severe allergic reaction to a vaccine component (animal proteins [eggs], antibiotic, stabilizer, or preservative) or following a previous dose of the vaccine; encephalopathy within seven days of a pertussis vaccination (not from another identifiable cause). This reaction is very rare since the introduction of acellular pertussis vaccine. The following are precautions/temporary contraindications to vaccination:Pregnancy: Although the risk of vaccination during pregnancy is mostly theoretical, caution is advised. Therefore, women who are known to be pregnant should not receive any of the live vaccines (Table 2). Inactivated vaccines are considered generally safe during pregnancy and should be used when indicated (Table 3). See the guide from the U.S. CDC for a complete listing of approved vaccines during pregnancy.Immunosuppression: People with active cancer, leukemia, or lymphoma (or people taking high doses of steroids) should not receive live vaccines but can receive inactivated vaccines.Human immunodeficiency virus (HIV): Vaccination depends on the severity of the illness. In asymptomatic (without symptoms) individuals, many vaccines are considered safe. In general, the inactivated vaccines are safe for both symptomatic and asymptomatic individuals infected with HIV.Moderate to severe illness: If someone is ill with more than a simple cold, earache, diarrhea, or other minor illness, vaccination should be postponed until the illness is over. Pregnancy: Although the risk of vaccination during pregnancy is mostly theoretical, caution is advised. Therefore, women who are known to be pregnant should not receive any of the live vaccines (Table 2). Inactivated vaccines are considered generally safe during pregnancy and should be used when indicated (Table 3). See the guide from the U.S. CDC for a complete listing of approved vaccines during pregnancy. Immunosuppression: People with active cancer, leukemia, or lymphoma (or people taking high doses of steroids) should not receive live vaccines but can receive inactivated vaccines. Human immunodeficiency virus (HIV): Vaccination depends on the severity of the illness. In asymptomatic (without symptoms) individuals, many vaccines are considered safe. In general, the inactivated vaccines are safe for both symptomatic and asymptomatic individuals infected with HIV. Moderate to severe illness: If someone is ill with more than a simple cold, earache, diarrhea, or other minor illness, vaccination should be postponed until the illness is over."
What vaccines can women receive while pregnant?,"'Women who are pregnant should not receive the MMR, oral typhoid ''yellow fever'', ''varicella'', or zoster vaccines. These vaccines are made from live attenuated viruses and potentially could cause a problem. Pregnant women may receive ''tetanus'' and influenza vaccines as needed. It is safe to receive ''hepatitis A'' & B, meningococcal, and pneumococcal vaccines.' "
What are invalid reasons for postponing vaccination?,"'Vaccination should not be postponed for any of the following reasons:' Mild illness: Low-grade fever, colds, upper respiratory-tract infections, and mild diarrhea are not reasons to put off vaccination. Antibiotics: The current administration of antibiotics is not a reason to put off vaccination. Household contacts of pregnant women or immunosuppressed patients: Living in a house with a pregnant woman or an immunosuppressed patient is not a reason to put off vaccination. Two exceptions are the live attenuated nasal influenza vaccine (which should no loner be used for anyone due to its lack of efficacy) and smallpox vaccine. Breastfeeding: Breastfeeding is not a reason for either the mother or baby to put off vaccination. Preterm birth: Preterm birth is not a reason to put off vaccination. Generalized allergies: Children with allergies, but no history of reactions to vaccine components, should receive vaccines as recommended. Family history: Having a family member who had an adverse reaction to a vaccine is not a reason to put off vaccination."
