Questions,Answer
What is a stroke?,"'A stroke, also called ''cerebrovascular accident'' (CVA), occurs when the blood supply is cut off or reduced to a part of the brain. This causes a decrease in oxygenation of the brain and prevents the brain tissue from receiving sufficient ''nutrition''. Eventually, the brain cells begin to die. This entire process takes place within a few minutes. A stroke is a medical emergency and requires immediate medical attention. Quick diagnosis and treatment can reduce ''brain damage'', disabilities, and other complications that can be permanent.' "
What causes a stroke?,'The possible causes of a stroke include:''Several factors that increase the risk of a stroke:' Atherosclerosis (fatty substance/cholesterol called plaque gets collected in your arteries and narrows them) A blood clot in the blood vessels that supply blood to the brain Bleeding within the brain  Bleeding with the brain stem Heart attack Defects of the heart valves  Arrhythmia (Irregular heart rhythm) High blood pressure Trauma Bleeding disorders Recreational drug abuse (especially cocaine) Abnormal blood vessels Age above 65 years High cholesterol High blood pressure Uncontrolled diabetes  Obesity History of strokes Family history of strokes Smoking  Alcoholism Hormone therapy and oral contraceptive pills Unhealthy diet and lack of exercise 
What do you do if you suspect a stroke?,"'It is important to be able to identify the signs of a stroke and immediately seek medical help. Being able to identify a stroke and calling for help could be lifesaving for oneself and for a person having a stroke because brain damage begins within minutes. The acronym ''F.A.S.T.'' is helpful to remember the most common warning signs of a stroke and react accordingly. Even if the signs of a stroke disappear, medical attention is still required.' F - Face drooping: One side of the face droops or is numb. When asked to smile, the smile becomes uneven or lopsided. A - Arm weakness: It is weakness and/or numbness of one arm. When asked to lift both arms, the arm of the affected side drifts downward. S - Speech difficulty: It is slurring of speech. When asked to speak, the words cannot be comprehended. T - Time: It is time to call for help (911 in the United States. Helpline numbers are different in different countries) or rush to a hospital, whichever is faster. The Sooner the treatment begins, the better the prognosis. It is recommended that treatment begins within 4.5 hours."
What are the complications of a stroke?,"'A stroke can sometimes cause temporary or permanent disabilities, which can drastically reduce the individual’s quality of life and prevent them from being self-sufficient. The risk of complications depends on how long the oxygen supply to the brain has been compromised, part of the brain is affected and is the onset of treatment. Seeking immediate medical attention and appropriate treatment may minimize or prevent complications. Complications may include:' Paralysis: Patients may become paralyzed on one side of the body or lose control of certain groups of muscles on one side of the body. In some cases, such as a brain stem stroke, patients may be completely paralyzed below the neck (Locked-in syndrome). Difficulty talking or swallowing: A stroke can permanently cause loss of control of the muscles in your mouth and throat, causing difficulty in speaking, swallowing, or eating. Difficulty in comprehending: Difficulty in comprehending and responding to speech and language, reading, or writing. Memory loss or thinking difficulties: Many stroke patients have memory loss, difficulty thinking, reasoning, making judgments, following instructions, and understanding concepts. Emotional problems: Stroke patients can have difficulty controlling their emotions, and they may have emotional outbursts or develop depression. Pain: Pain, numbness, tingling, or other uncomfortable sensations may occur throughout the parts of the body affected by a stroke."
What are warts? What causes warts? Are warts contagious?,"'Warts are local growths in the skin caused by ''human papillomavirus'' (''HPV'') infection. There are over 100 types of HPV. Some HPV types infect the genital and oral mucosa and produce large masses, which can occasionally become cancerous. Other HPV types are responsible for benign common skin warts that are not associated with ''cancer''. Although warts are considered to be ''contagious'', it is not uncommon for just one family member to have them. In addition, they often affect just one part of the body (such as the hands or the ''feet''), but they can be spread to other areas. The form taken by the wart infection seems to be partially dependent on the genetic type of the wart virus, as well as its anatomical location. For example, the same type of wart virus can cause common hand warts, as well as plantar warts.'  "
What are the symptoms and signs of the different types of warts?," There are familiar type of dome-shaped warts on the backs of fingers, toes, and knees. These warts often have small black dots on their surfaces, which represent multiple thrombosed (clotted) capillaries. Some people mistakenly call these dots ""seed warts."" Plantar warts are found on the sole (plantar surface) of the foot (not to be mislabeled as a planter's wart). Similar in appearance are warts on the palms (palmar warts). Small warts growing in clusters on the plantar surface of the foot have been called mosaic warts. Flat (""plane"") warts may arise on the face, legs, and other parts of the body, often in large numbers. Periungual warts are warts around or under the nail. Filiform warts have a single long stalk, often on the face. Most warts have a rough surface, as well as a number of black pinpoint spots that represent small clotted capillaries. Traumatized warts occasionally bleed and have been called blood warts."
What is the treatment for warts? Are there home remedies for warts?,"'Common warts can be annoying to anyone. It is worth considering that, in normal people, half of all warts, on average, spontaneously go away within about 18 months. The information in this article is about the treatment of common warts. It does not apply to venereal or ''genital warts''. Over-the-counter treatment for common skin warts has long been based upon the use of products containing salicylic acid to destroy the wart. Newer nonprescription wart treatments include carbon dioxide aerosols to freeze warts.''These are available as drops, gels, pads, and plasters. They are designed for application to many types of warts, from tiny ones to larger ones. Salicylic acid is a keratolytic medication, which means it dissolves skin protein (keratin), which makes up most of the mass of the wart and the thick layer of dead skin that often surmounts it.''Nonprescription freezing methods''Aerosol wart treatments that are available over the counter use sprays that freeze warts at a temperature of minus 90 F (minus 57 C). This compares with the liquid nitrogen used by most dermatologists, which is considerably colder (minus 320 F or minus 196 C). The ''over-the-counter products'' may not work nearly as well as the colder agents applied by a doctor.''It has been reported that warts can be treated by covering them with duct (duck) tape or other nonporous tape, such as electrical tape. This treatment requires that the tape must be left in place all the time and removed only a few hours once per week. The tape must be replaced frequently. Many are of the opinion that this is no better than a placebo, based on published studies.'  "
Is it safe to use over-the-counter wart treatments?,"""It is important to follow the directions when treating warts with nonprescription medications. If salicylic acid gets on normal skin, it can cause burning or redness but rarely infection or scarring. The skin returns to normal when the individual stops applying the salicylic acid product. Still, it's probably better not to use salicylic acid on sensitive areas like the face or groin, where it's likely to make nearby skin raw and uncomfortable. It generally is recommended that salicylic acid not be used in people with ""'diabetes'' or in areas where there is poor circulation. Likewise, nonprescription freezing products are also reasonably safe but must be used carefully and only according to package instructions because they work by destroying living tissue.'  "
Are wart treatments effective?,"'Above all, wart treatments require patience. The fact that there are a wide variety of wart treatments is evidence for the fact that there is no single best therapy. Warts can appear and disappear without an identifiable cause and often disappear on their own without treatment. Warts are generally painless unless they are present in areas prone to pressure or friction like the palms and soles. Treatment methods may require several sessions over weeks, months, or longer.''Here is a practical approach to the treatment of warts:'""With an all-but-impossible case, don't try too hard. Don't make the treatment worse than the disease. Here are some examples:"" Ignore the warts. Eventually, they'll go away (although eventually can mean a long time -- even months or years). With an uncomplicated case (a single wart on the face or one or a few on the hands), see a doctor for a quick freeze or electrical destruction. These methods are simple, although somewhat painful, and generally non-scarring. With a difficult case, start by treating the warts for a few weeks at home. Here are some examples: Plantar warts: Warts on the bottom of the foot feel deep, but they are still within the superficial layer of the skin. Tender plantar warts can be rendered painless by paring the wart thinner without causing bleeding. Salicylic-lactic acid (Duofilm solution) in flexible collodion and plasters help remove the thick overlying callus responsible for making the wart feel less like a marble in the shoe. Nonprescription aerosol freezing may be used, as well. Common hand warts: These are typically unattractive although not painful. Salicylic acid often shrinks the wart, encouraging resolution, as can nonprescription freezing. Warts under and around the nails: These are extremely resistant to treatment. One or two tries by the doctor are worth a shot, but if they fail, putting acid on them oneself just makes them look rough and unattractive. ""Mosaic"" warts: These tiny warts can proliferate by the dozens or hundreds all over the sole of the foot. They don't usually hurt, and they rarely respond to any sort of treatment, although in this case, too, one or two tries at treatment may be in order. Flat warts: These are small, flat, flesh-colored bumps and may be numerous on one part of the body (for example on the face, arms, or groin). Getting rid of them by a light application of salicylic acid or other method is easy enough, but they have a tendency to recur."
What if wart removal treatments fail?,"'If these treatments fail, see a doctor to freeze the wart with liquid nitrogen or ''burn'' it with an electric needle.''Other treatments a doctor may use are''Unless warts are very large and uncomfortable, surgical removal or aggressive laser surgery to remove the warts is generally avoided because of the likelihood of scarring. Since warts are caused by a virus, they may recur following attempts at surgical removal or any other type of therapy. Currently, there is no evidence that vaccination against sexually acquired HPV types has any effect on the ''prevention'' or treatment of ''common wart'' infections.'   topical cantharidin; imiquimod (Aldara), an immune-stimulator that is approved for use on genital warts but has been reported to be effective in some common warts as well; note that it is quite expensive; injections of Candidin (an extract to test for sensitivity to Candida yeast); injections of bleomycin, a chemotherapeutic agent used in cancer treatment; treatment with a contact sensitizing agent; or surgical destruction."
