Questions,Answer
What is an upper gastrointestinal (GI) series?,"'An upper gastrointestinal (GI) series (barium swallow), is a radiological test that is used to visualize the structures of the upper ''digestive system'' - the esophagus, stomach and duodenum. (If visualization of the remaining parts of the small intestine is necessary, a small bowel follow through\xa0 can be added to the test.) These structures are observed during the examination, and the images are also\xa0 saved for further review on X-ray film or as digital images. An upper GI series can reveal conditions such as ulcers, tumors, hiatal hernias, scarring, blockages, and abnormalities of the muscular wall of the gastrointestinal tissues.' "
What are the risks of an upper GI series?,"' Any x-ray test procedure involves some risk from ''radiation'' exposure. The radiation exposure is minimized by standard techniques that have been assigned and approved by national and international radiology committees and councils.  Radiology technicians are certified by national certifying boards.''Patients who are or may be pregnant should notify the requesting practitioner and radiology staff, as there is potential risk of harm to the fetus with any  radiation exposure.' "
"How does a patient prepare for an upper GI series, and how is it performed?","'A radiology technologist guides the patient through the upper GI series along with a radiologist (a physician trained in performing and interpreting ''x-rays''). Because an upper GI series involves interpreting images of the gastrointestinal system, it is important that any materials or objects internally or externally that could potentially interfere with interpretation of the X-ray film be avoided. Therefore, patients are requested not to eat or drink anything from four to eight hours before the procedure. Patients also are asked to remove their clothing and all metallic objects such as jewelry.''As barium passes through the digestive system, ''constipation'' can result, especially in patients prone to ''constipation''. Therefore, it generally is advisable that patients who undergo an upper GI series drink extra fluids after the test and consider a ''laxative'' to relieve the bowels of the barium if the barium is not eliminated completely within the next day or two. As it is passing in the ''stool'', barium has a whitish appearance that maybe apparent for several days after the test.'   A patient will be positioned behind X-ray equipment called a fluoroscope for X-ray exposure. The patient then is asked to swallow a liquid that contains barium. The barium fills and then coats the lining of the intestinal tract making the adjacent esophagus, stomach and duodenum visible. (X-rays of the stomach and intestine done without barium provide very little detail and information.) X-ray images are obtained at different angles through the chest and abdomen. The X-ray machine (fluoroscope) produces these images by sending X-ray radiation through the tissues of the body to a film on the opposite side of the patient's body. As the radiation penetrates the body, it is absorbed in varying amounts by different body tissues. Due to differences in their composition, the different organs and certain abnormalities and conditions all become visible on the X-ray film, by blocking the penetration of the X-ray beam to varying degrees. After development of the film, an image of the organs is revealed. The radiologist then examines the X-rays and can identify various normal and abnormal structures of the gastrointestinal system. If needed, further enhancement of the different structures can be obtained by having air as well as barium in the stomach. This is accomplished by swallowing baking soda crystals."
How does the patient obtain the results of the upper GI series?,"'After the radiology technician develops the X-ray film or digital image, it is transferred to the radiologist. This physician interprets the films. The radiologist then generates a report that is transmitted to the physician who requested the test. The radiologist and the practitioner often review the findings together. The practitioner can review the results of the upper GI series with the patient and can proceed with therapy or discuss whether other tests may be necessary.' "
Facts you should know about X-rays,"  X-rays are a form of electromagnetic radiation that can pass through solid objects, including the body. X-rays penetrate different objects more or less according to their density. In medicine, X-rays are used to view images of the bones and other structures in the body. X-rays were first discovered by Wilhelm Conrad Roentgen, a German physics professor. Roentgen also studied X-rays and their ability to pass through human tissues to produce images of the bones and metals visible on developed film. To obtain an X-ray image of a part of the body, a patient is positioned so the part of the body being X-rayed is between the source of the X-ray and an X-ray detector. As the X-rays pass through the body, images appear in shades of black and white, depending on the type of tissue the X-rays pass through. For example, the calcium in your bones makes them denser, so they absorb more radiation and appear white on X-rays. Thus when a bone is broken (fractured), the fracture line will appear as a dark area within the lighter bone on an X-ray film. Less dense tissue such as muscle or fat absorbs less, and these structures appear in shades of gray on X-ray film. Air absorbs little of the X-rays, so the lungs and any air-filled cavities appear black on an X-ray film. If pneumonia or tumors are present in the lungs, they are denser than the air-filled areas of the lungs and they will appear as whiter spots on X-ray film."
What are uses of X-rays?,"'The most common form of X-ray used is X-ray radiography, which can be used to help detect or diagnose: '  
Bone fractures  Infections (such as pneumonia) Calcifications (like kidney stones or 
vascular calcifications) Some tumors 
Arthritis in joints Bone loss (such as osteoporosis) Dental issues Heart problems (such as 
	congestive heart failure) Blood vessel blockages Digestive problems Foreign objects (such as items 
swallowed by children)"
Is it safe to have X-rays while pregnant or breastfeeding?,"'The risk of side effects of an X-ray while you are ''pregnant'' is extremely minimal, but it is always important to protect the developing fetus from harm. You should always tell your health-care professional if you are or think you may be ''pregnant'' if an X-ray exam is prescribed. ''X-ray examinations of areas of the body including the arms, legs, chest, head, or ''teeth'' do not expose your reproductive organs or your unborn child to a direct X-ray beam. X-rays of the abdomen, stomach, kidneys, lower back, or pelvis can potentially expose an unborn child to the direct X-ray beam. Depending on your condition and the area that needs to be X-rayed, your doctor may cancel or postpone your X-ray exam if you are pregnant. The X-ray exam also may be modified to reduce the radiation. Often the risk of not having a necessary X-ray can be greater than the risk of the radiation. ''It is safe to have X-ray tests while ''breastfeeding''. The radiation does not affect the milk or the baby, and ''breastfeeding'' is safe after a regular X-ray. Mammograms may be more difficult to read in a lactating mother, but women who are breastfeeding can continue to do so even if they need a ''mammogram''. In the case of X-rays used with contrast media, it is safe to breastfeed as long as there is no radioactive isotope used in the contrast. If there is a radioactive isotope used, your doctor may recommend you stop breastfeeding for a short time. Ask your doctor about the contrast agent used and let them know that if you are breastfeeding. ' "
What are the types of X-rays?,"'There are many types of X-rays that are used to diagnose conditions and diseases. The following are examples.' 

Mammography is a type of X-ray radiograph that is used to detect breast 
cancer.  Computed tomography (CT) scans combine X-ray with computer processing to 
create detailed pictures (scans) of cross sections of the body that are combined 
to form a three-dimensional X-ray image.  Fluoroscopy uses X-rays and a fluorescent screen to study moving or real-time 
structures in the body, such as viewing the heart beating. It can also be used 
in combination with swallowed or injected contrast agents to view the digestive 
processes or blood flow. 
	Cardiac angioplasty uses fluoroscopy with a contrast 
agent to guide an internally threaded catheter to help open clogged arteries. 
Fluoroscopy is also used to precisely place instruments in certain locations 
within the body, such as during epidural injections or joint aspirations. Other uses for X-rays and other types of radiation include cancer treatment. 
High-energy radiation in much higher doses than what is used for X-ray imaging 
may be utilized to help destroy cancerous cells and tumors by damaging their 
DNA. "
What are the dangers and risks of X-rays?,"'Radiation does have some risks to consider, but it is also important to remember X-rays can help detect disease or injury at early stages so the ailment can be treated appropriately. Sometimes X-ray testing can be life-saving. ''The risk from X-rays comes from the radiation they produce, which can harm living tissues. This risk is relatively small, but it increases with cumulative exposure. That is, the more you are exposed to radiation over your lifetime, the higher your risk of harm from the radiation. ''There is a slight increased risk of developing ''cancer'' later in life after X-ray exposure. X-rays have also been linked to ''cataracts'' in the eyes and ''skin burns'', but only at extremely high levels of radiation. ''Things that are risk factors for X-ray damage include:''Things you can do to reduce radiation risks from X-rays: ' A higher number of X-ray exams Receiving X-rays at a younger age Being female (women have a slightly 
higher lifetime risk than men for developing radiation-associated cancer) Keep track of your X-ray history and 
make sure your doctors are aware of it Ask your health-care professional if there 
are alternative tests to X-ray exams If you are pregnant or think you may be 
pregnant, tell the X-ray technician or radiologist"
How do I prepare for an X-ray exam?,"'There is no special preparation needed for a regular diagnostic X-ray. You may be asked to strip down and wear a hospital gown, or at least remove clothing on the part of the body that needs to be X-rayed. You may be asked to remove any metal objects such as ''eyeglasses'', jewelry, or watches that may interfere. If you are getting an X-ray with contrast such as barium or ''iodine'', you may be given a liquid to swallow, an injection, or enema with the agent prior to the X-ray. If you are getting an X-ray of your gastrointestinal tract you may be told not to eat or drink anything for 8 or more hours before the procedure so your stomach is empty. Your doctor will tell you if you need to do this.''An X-ray technician will position you on an exam table and give instructions on how you should position your body for the X-ray. You can ask questions if you have them. ' "
How do medical professionals perform an X-ray?,"'The X-ray test works by positioning the part of the body being X-rayed between the source of the X-ray and an X-ray detector (such as a film). You usually will need to lie on a table or stand against a flat surface to ensure your body is in the right place for the X-rays to pass through the body part being examined. You will be asked to stay still so the image will be as clear as possible. This will provide the most accurate image. ''Dental X-rays'' usually involve biting on a piece of film.''A radiology technician will aim the X-ray machine at the body part that needs to be X-rayed, and then they will leave the room or go behind a screen to turn on the machine. The actual X-ray usually only takes a fraction of a second, and you will not feel anything when it occurs.''The radiology technician may return and reposition your body or the X-ray slide to take additional X-rays from multiple angles.''The entire procedure for a regular usually only takes a few minutes. If contrast agents are used, a procedure may take an hour or more.' "
What are the side effects of contrast agents?,"'If contrast agents are used, you may experience some side effects. ''Side effects of barium include: ''Side effects of iodine include: '  Nausea Vomiting Stomach cramps Diarrhea Constipation Allergic reactions (tell your doctor 
immediately if these occur): hives, itching, skin redness, swelling of the 
throat, hoarseness, difficulty breathing or swallowing, agitation, confusion, 
fast heartbeat Nausea  Vomiting  Metallic taste in the mouth  Headache  Itching  Flushing 
 Lightheadedness  Skin rash or hives  Wheezing  Abnormal heart rhythms  High or low 
blood pressure  Shortness of breath or difficulty breathing"
What happens after the X-ray procedure?,"'There are no side effects or after-effects of a regular X-ray and you should be able to return to your normal daily activities immediately. ''If you had an X-ray with contrast, there may be some temporary side effects. Barium may cause your ''stool'' to turn a whitish color, and iodine injections may cause some people to feel sick or develop a ''rash''. Injections given to relax the stomach before an X-ray of that body part may cause temporary ''blurred vision''. You will likely be instructed to drink plenty of fluids after an X-ray with contrast to help your body rid itself of these agents. ' "
